case_id,driver_gender,year_of_birth,driver_age,driver_race,violation_raw,violation,search_conducted,search_type,stop_outcome,is_arrested,stop_duration,drugs_related_stop,stopped_by,stop_date_and_time
13,Male,1987,18,White,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Arrest Passenger,Yes,16-30 Min,Yes       ,102,Oct  8 2005  8:40PM
14,Male,1955,50,White,Call for Service,Other,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,103,Oct 10 2005  4:00PM
15,Male,1964,41,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,104,Oct 11 2005  3:15AM
16,Male,1963,42,White,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Citation,No,0-15 Min,Yes       ,105,Oct 11 2005  1:40PM
17,Male,1953,52,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,16-30 Min,No        ,106,Oct 11 2005 11:49PM
18,Male,1977,28,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Probable Cause,Arrest Driver,Yes,30+ Min,Yes       ,107,Oct 12 2005  8:20PM
19,Male,1987,18,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Protective Frisk,Arrest Driver,Yes,0-15 Min,No        ,108,Oct 12 2005  8:30PM
20,Male,1987,18,Hispanic,Other Traffic Violation,Moving violation,Yes       ,Protective Frisk,Arrest Driver,Yes,0-15 Min,No        ,109,Oct 12 2005  8:30PM
21,Male,1981,24,Black,Speeding,Speeding,Yes       ,Reasonable Suspicion,Citation,No,16-30 Min,No        ,100,Oct 16 2005 12:00AM
22,Male,1976,29,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,101,Oct 16 2005  2:50AM
23,Male,1961,44,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,102,Oct 16 2005 10:40AM
24,Male,1977,28,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,103,Oct 16 2005  7:30PM
25,Male,1983,22,Black,Speeding,Speeding,Yes       ,Protective Frisk,Citation,No,0-15 Min,No        ,104,Oct 17 2005  9:30AM
26,Male,1967,38,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,105,Oct 18 2005  2:45AM
27,Male,1958,47,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,106,Oct 18 2005 11:46PM
28,Male,1956,49,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,107,Oct 19 2005  1:00AM
29,Female,1986,19,White,Speeding,Speeding,Yes       ,Inventory,Arrest Driver,Yes,16-30 Min,No        ,108,Oct 20 2005  1:52AM
30,Male,1961,44,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,109,Oct 21 2005  6:05AM
31,Male,1961,44,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,100,Oct 21 2005  6:12AM
32,Male,1978,27,White,Equipment/Inspection Violation,Equipment,Yes       ,Inventory,Protective Frisk,Citation,No,0-15 Min,No        ,101,Oct 23 2005  2:40PM
33,Male,1988,17,White,Equipment/Inspection Violation,Equipment,Yes       ,Protective Frisk,Citation,No,16-30 Min,No        ,102,Oct 23 2005  4:20PM
34,Male,1980,25,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,103,Oct 23 2005  6:40PM
35,Male,1979,26,Black,Registration Violation,Registration/plates,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,104,Oct 24 2005  2:10PM
36,Male,1957,48,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,105,Oct 25 2005  8:10PM
37,Male,1985,20,White,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,106,Oct 25 2005 11:25PM
38,Male,1986,19,White,Speeding,Speeding,Yes       ,Reasonable Suspicion,Citation,No,16-30 Min,No        ,107,Oct 27 2005  8:47AM
39,Male,1981,24,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Citation,No,16-30 Min,Yes       ,108,Oct 27 2005 11:30PM
40,Male,1982,23,White,Speeding,Speeding,Yes       ,Inventory,Arrest Driver,Yes,16-30 Min,No        ,109,Oct 28 2005  7:14AM
41,Male,1953,52,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,100,Oct 28 2005 10:50PM
42,Male,1973,32,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,16-30 Min,No        ,101,Oct 29 2005  1:03AM
43,Male,1965,40,White,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,30+ Min,Yes       ,102,Oct 29 2005  9:50AM
44,Female,1986,19,White,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,103,Nov  1 2005  2:45AM
45,Male,1968,37,White,Speeding,Speeding,Yes       ,Incident to Arrest,Probable Cause,Arrest Driver,Yes,30+ Min,No        ,104,Nov  1 2005  1:00PM
46,Female,1987,18,Black,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,105,Nov  2 2005  1:45AM
47,Female,1987,18,Black,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,106,Nov  2 2005  1:45AM
48,Male,1967,38,White,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,107,Nov  4 2005  9:50AM
49,Male,1981,24,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,108,Nov  4 2005 10:34AM
50,Male,1979,26,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Reasonable Suspicion,Arrest Driver,Yes,30+ Min,Yes       ,109,Nov  4 2005  1:35PM
51,Male,1985,20,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,100,Nov  4 2005 10:10PM
52,Male,1958,47,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,101,Nov  7 2005  8:45PM
53,Male,1979,26,White,Speeding,Speeding,Yes       ,Protective Frisk,Arrest Driver,Yes,16-30 Min,No        ,102,Nov  8 2005  1:30AM
54,Male,1978,27,White,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,103,Nov  8 2005 10:27AM
55,Male,1980,25,White,Speeding,Speeding,Yes       ,Reasonable Suspicion,Citation,No,0-15 Min,No        ,104,Nov  9 2005 12:49AM
56,Male,1982,23,White,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,105,Nov 10 2005  1:15AM
57,Male,1973,32,Black,Registration Violation,Registration/plates,Yes       ,Inventory,Citation,No,30+ Min,No        ,106,Nov 10 2005  7:40PM
58,Male,1979,26,Black,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,107,Nov 12 2005  2:10AM
59,Male,1980,25,White,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,0-15 Min,No        ,108,Nov 12 2005  1:30PM
60,Female,1986,19,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,109,Nov 12 2005  4:00PM
61,Male,1982,23,White,Speeding,Speeding,Yes       ,Protective Frisk,Citation,No,0-15 Min,No        ,100,Nov 12 2005  8:45PM
62,Male,1964,41,Hispanic,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,101,Nov 13 2005 11:35PM
63,Male,1978,27,White,Registration Violation,Registration/plates,Yes       ,Inventory,Citation,No,16-30 Min,No        ,102,Nov 14 2005  6:57AM
64,Male,1956,49,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,103,Nov 15 2005  1:13AM
65,Female,1986,19,White,Registration Violation,Registration/plates,Yes       ,Inventory,Citation,No,0-15 Min,No        ,104,Nov 15 2005  6:50AM
66,Male,1979,26,Hispanic,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Protective Frisk,Arrest Driver,Yes,16-30 Min,No        ,105,Nov 16 2005 12:11AM
67,Male,1986,19,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,106,Nov 17 2005 12:35AM
68,Female,1962,43,Black,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,107,Nov 17 2005 11:30PM
69,Male,1973,32,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,108,Nov 22 2005  1:10AM
70,Male,1976,29,White,Speeding,Speeding,Yes       ,Probable Cause,Reasonable Suspicion,Citation,No,0-15 Min,No        ,109,Nov 23 2005  3:30AM
71,Male,1988,17,Hispanic,Equipment/Inspection Violation,Equipment,Yes       ,Protective Frisk,Citation,No,0-15 Min,No        ,100,Nov 23 2005  9:00AM
72,Male,1942,63,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,101,Nov 23 2005  2:17PM
73,Male,1955,50,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,30+ Min,No        ,102,Nov 23 2005  8:42PM
74,Male,1959,46,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,103,Nov 24 2005  9:12AM
75,Male,1979,26,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,16-30 Min,No        ,104,Nov 25 2005 12:30PM
76,Male,1987,18,White,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Warning,No,16-30 Min,No        ,105,Nov 25 2005  3:15PM
77,Male,1979,26,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,106,Nov 25 2005 10:00PM
78,Male,1971,34,White,Other Traffic Violation,Moving violation,Yes       ,Inventory,Citation,No,0-15 Min,No        ,107,Nov 26 2005  1:00AM
79,Male,1987,18,White,Speeding,Speeding,Yes       ,Protective Frisk,Citation,No,0-15 Min,No        ,108,Nov 26 2005  2:21PM
80,Male,1984,21,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,109,Nov 27 2005  8:40AM
81,Male,1984,21,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,100,Nov 27 2005  8:40AM
82,Male,1984,21,White,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,16-30 Min,No        ,101,Nov 28 2005 10:01AM
83,Male,1979,26,White,Speeding,Speeding,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,16-30 Min,No        ,102,Nov 30 2005  2:00AM
84,Male,1985,20,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,16-30 Min,No        ,103,Dec  1 2005 10:10PM
85,Male,1944,61,White,Motorist Assist/Courtesy,Other,Yes       ,Incident to Arrest,Arrest Passenger,Yes,30+ Min,No        ,104,Dec  2 2005  8:50PM
86,Male,1984,21,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,16-30 Min,No        ,105,Dec  2 2005 10:30PM
87,Male,1984,21,Black,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,106,Dec  2 2005 10:30PM
88,Male,1981,24,Black,Call for Service,Other,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,107,Dec  4 2005 12:16AM
89,Male,1982,23,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,108,Dec  4 2005  2:10AM
90,Male,1985,20,Hispanic,Speeding,Speeding,Yes       ,Incident to Arrest,Probable Cause,Protective Frisk,Arrest Driver,Yes,30+ Min,No        ,109,Dec  4 2005  3:15AM
91,Male,1971,34,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Protective Frisk,Arrest Driver,Yes,16-30 Min,No        ,100,Dec  4 2005  3:15AM
92,Male,1968,37,White,Speeding,Speeding,Yes       ,Probable Cause,Arrest Passenger,Yes,30+ Min,Yes       ,101,Dec  4 2005  3:30PM
93,Male,1974,31,Black,APB,Other,Yes       ,Incident to Arrest,Citation,No,0-15 Min,No        ,102,Dec  4 2005  9:29PM
94,Male,1984,21,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,103,Dec  5 2005  1:08AM
95,Male,1961,44,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,104,Dec  5 2005  1:50AM
96,Male,1982,23,Hispanic,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,105,Dec  5 2005  8:00AM
97,Male,1984,21,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,16-30 Min,No        ,106,Dec  5 2005  4:45PM
98,Male,1963,42,Hispanic,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,107,Dec  5 2005 10:40PM
99,Male,1964,41,White,Speeding,Speeding,Yes       ,Probable Cause,Protective Frisk,Citation,No,16-30 Min,No        ,108,Dec  7 2005  6:45PM
100,Male,1984,21,White,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,109,Dec  8 2005  9:25AM
101,Male,1970,35,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Protective Frisk,Arrest Driver,Yes,30+ Min,No        ,100,Dec  8 2005  9:15PM
102,Male,1979,26,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,Yes       ,101,Dec  9 2005 12:00AM
103,Male,1987,18,White,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,102,Dec  9 2005  3:10AM
104,Male,1958,47,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,103,Dec  9 2005  7:40AM
105,Male,1974,31,Asian,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,104,Dec 10 2005  7:58PM
106,Male,1980,25,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,105,Dec 10 2005  9:19PM
107,Male,1965,40,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Inventory,Arrest Driver,Yes,16-30 Min,No        ,106,Dec 11 2005  8:24PM
108,Female,1966,39,Black,Other Traffic Violation,Moving violation,Yes       ,Inventory,Arrest Driver,Yes,16-30 Min,No        ,107,Dec 13 2005  8:41AM
109,Male,1973,32,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,108,Dec 14 2005  2:40AM
110,Male,1961,44,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,109,Dec 14 2005 11:10PM
111,Male,1976,29,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,100,Dec 16 2005 11:00PM
112,Male,1984,21,White,Speeding,Speeding,Yes       ,Protective Frisk,Citation,No,0-15 Min,No        ,101,Dec 17 2005 12:40AM
113,Male,1984,21,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,102,Dec 17 2005  4:45PM
114,Male,1973,32,White,Speeding,Speeding,Yes       ,Protective Frisk,Arrest Driver,Yes,30+ Min,No        ,103,Dec 18 2005  7:20PM
115,Male,1957,48,White,Call for Service,Other,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,104,Dec 19 2005  7:21PM
116,Male,1957,48,White,Call for Service,Other,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,105,Dec 19 2005  7:21PM
117,Male,1964,41,Black,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Inventory,Protective Frisk,Arrest Driver,Yes,30+ Min,No        ,106,Dec 20 2005 12:20PM
118,Male,1986,19,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Protective Frisk,Arrest Driver,Yes,30+ Min,No        ,107,Dec 21 2005  1:30PM
119,Male,1972,33,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Passenger,Yes,30+ Min,No        ,108,Dec 23 2005  9:31AM
120,Male,1986,19,Black,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,16-30 Min,Yes       ,109,Dec 26 2005  8:02AM
121,Male,1980,25,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,100,Dec 26 2005 10:15AM
122,Male,1987,18,White,Equipment/Inspection Violation,Equipment,Yes       ,Inventory,Protective Frisk,Citation,No,30+ Min,No        ,101,Dec 28 2005  2:50PM
123,Male,1983,22,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,102,Dec 29 2005 10:00PM
124,Male,1971,34,Black,Equipment/Inspection Violation,Equipment,Yes       ,Inventory,Citation,No,30+ Min,No        ,103,Dec 30 2005  2:20PM
125,Male,1979,26,Black,Registration Violation,Registration/plates,Yes       ,Protective Frisk,Citation,No,16-30 Min,No        ,104,Dec 30 2005  6:15PM
126,Male,1982,23,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,105,Dec 30 2005 11:30PM
127,Male,1986,19,White,Call for Service,Other,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,106,Dec 31 2005  2:17AM
128,Male,1970,35,White,Speeding,Speeding,Yes       ,Incident to Arrest,Protective Frisk,Arrest Driver,Yes,30+ Min,No        ,107,Dec 31 2005  9:34AM
129,Male,1978,28,White,Other Traffic Violation,Moving violation,Yes       ,Protective Frisk,Citation,No,0-15 Min,No        ,108,Jan  1 2006  3:50AM
130,Male,1983,23,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,109,Jan  1 2006  2:10PM
131,Male,1971,35,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,100,Jan  2 2006  8:00PM
132,Male,1974,32,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,101,Jan  3 2006  8:45PM
133,Male,1975,31,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,102,Jan  4 2006 12:00AM
134,Male,1951,55,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,103,Jan  4 2006 10:00AM
135,Male,1961,45,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,104,Jan  4 2006 10:20PM
136,Male,1971,35,White,Call for Service,Other,Yes       ,Probable Cause,Protective Frisk,Citation,No,30+ Min,No        ,105,Jan  5 2006  1:00AM
137,Male,1972,34,Black,Equipment/Inspection Violation,Equipment,Yes       ,Probable Cause,Citation,No,16-30 Min,No        ,106,Jan  5 2006 11:00AM
138,Male,1981,25,Asian,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,107,Jan  5 2006  6:20PM
139,Male,1970,36,Black,Speeding,Speeding,Yes       ,Protective Frisk,Reasonable Suspicion,Citation,No,16-30 Min,No        ,108,Jan  5 2006 11:45PM
140,Male,1982,24,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,109,Jan  6 2006  1:00AM
141,Female,1983,23,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Passenger,Yes,16-30 Min,No        ,100,Jan  6 2006 10:40AM
142,Male,1971,35,White,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,0-15 Min,No        ,101,Jan  6 2006 10:55AM
143,Male,1981,25,White,Speeding,Speeding,Yes       ,Incident to Arrest,Protective Frisk,Citation,No,30+ Min,No        ,102,Jan  6 2006  4:40PM
144,Male,1981,25,White,Speeding,Speeding,Yes       ,Incident to Arrest,Protective Frisk,Citation,No,30+ Min,No        ,103,Jan  6 2006  4:40PM
145,Male,1984,22,Hispanic,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,0-15 Min,No        ,104,Jan  6 2006 11:18PM
146,Male,1976,30,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,105,Jan  7 2006  2:20AM
147,Male,1954,52,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,106,Jan  7 2006  8:50AM
148,Male,1978,28,White,Speeding,Speeding,Yes       ,Incident to Arrest,Protective Frisk,Arrest Driver,Yes,30+ Min,No        ,107,Jan  7 2006  6:05PM
149,Male,1970,36,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,108,Jan  8 2006  3:00AM
150,Female,1984,22,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,109,Jan  9 2006  1:50AM
151,Male,1972,34,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,100,Jan  9 2006  8:15AM
152,Male,1949,57,White,Registration Violation,Registration/plates,Yes       ,Inventory,Citation,No,30+ Min,No        ,101,Jan  9 2006 10:00AM
153,Male,1987,19,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,102,Jan  9 2006 10:06AM
154,Male,1971,35,White,Speeding,Speeding,Yes       ,Probable Cause,Citation,No,0-15 Min,No        ,103,Jan  9 2006 10:41AM
155,Male,1975,31,White,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,104,Jan  9 2006 10:34PM
156,Male,1981,25,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,105,Jan 10 2006 12:40PM
157,Male,1968,38,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Citation,No,30+ Min,No        ,106,Jan 10 2006  1:05PM
158,Male,1982,24,Black,Speeding,Speeding,Yes       ,Probable Cause,Arrest Passenger,Yes,16-30 Min,No        ,107,Jan 11 2006  2:20AM
159,Male,1986,20,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,108,Jan 12 2006 11:35AM
160,Male,1986,20,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,109,Jan 12 2006 11:35AM
161,Female,1963,43,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,100,Jan 12 2006  8:50PM
162,Male,1973,33,Black,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,101,Jan 13 2006  7:00AM
163,Male,1956,50,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,102,Jan 13 2006  4:25PM
164,Female,1979,27,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,Yes       ,103,Jan 15 2006 12:30AM
165,Female,1981,25,White,Equipment/Inspection Violation,Equipment,Yes       ,Incident to Arrest,Protective Frisk,Arrest Driver,Yes,30+ Min,No        ,104,Jan 15 2006  9:00AM
166,Male,1984,22,White,Registration Violation,Registration/plates,Yes       ,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No        ,105,Jan 15 2006  6:43PM
167,Male,1983,23,White,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,106,Jan 15 2006 11:30PM
168,Male,1983,23,Hispanic,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,107,Jan 15 2006 11:30PM
169,Male,1967,39,Black,Other Traffic Violation,Moving violation,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,108,Jan 16 2006 10:30AM
170,Male,1968,38,Black,Speeding,Speeding,Yes       ,Incident to Arrest,Arrest Driver,Yes,30+ Min,No        ,109,Jan 16 2006  3:24PM
171,Male,1977,29,Black,Other Traffic Violation,Moving violation,Yes       ,Probable Cause,Citation,No,0-15 Min,No        ,100,Jan 16 2006  7:30PM
172,Male,1973,33,White,Violation of City/Town Ordinance,Other,Yes       ,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No        ,101,Jan 17 2006  4:10PM
