case_id,stop_date,stop_time,driver_gender,year_of_birth,driver_age,driver_race,violation_raw,violation,search_conducted,search_type,stop_outcome,is_arrested,stop_duration,drugs_related_stop,stopped_by
36,2005-10-25,20:10,Male,1957,48,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,105
37,2005-10-25,23:25,Male,1985,20,White,Equipment/Inspection Violation,Equipment,Yes,Probable Cause,Citation,No,16-30 Min,Yes,106
38,2005-10-27,08:47,Male,1986,19,White,Speeding,Speeding,Yes,Reasonable Suspicion,Citation,No,16-30 Min,No,107
39,2005-10-27,23:30,Male,1981,24,Black,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Citation,No,16-30 Min,Yes,108
40,2005-10-28,07:14,Male,1982,23,White,Speeding,Speeding,Yes,Inventory,Arrest Driver,Yes,16-30 Min,No,109
41,2005-10-28,22:50,Male,1953,52,White,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,100
42,2005-10-29,01:03,Male,1973,32,Black,Speeding,Speeding,Yes,"Incident to Arrest,Inventory",Arrest Driver,Yes,16-30 Min,No,101
43,2005-10-29,09:50,Male,1965,40,White,Speeding,Speeding,Yes,Incident to Arrest,Citation,No,30+ Min,Yes,102
44,2005-11-01,02:45,Female,1986,19,White,Speeding,Speeding,Yes,Probable Cause,Citation,No,16-30 Min,No,103
45,2005-11-01,13:00,Male,1968,37,White,Speeding,Speeding,Yes,"Incident to Arrest,Probable Cause",Arrest Driver,Yes,30+ Min,No,104
46,2005-11-02,01:45,Female,1987,18,Black,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,105
47,2005-11-02,01:45,Female,1987,18,Black,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,106
48,2005-11-04,09:50,Male,1967,38,White,Speeding,Speeding,Yes,Incident to Arrest,Citation,No,30+ Min,No,107
49,2005-11-04,10:34,Male,1981,24,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,108
50,2005-11-04,13:35,Male,1979,26,White,Other Traffic Violation,Moving violation,Yes,"Incident to Arrest,Reasonable Suspicion",Arrest Driver,Yes,30+ Min,Yes,109
51,2005-11-04,22:10,Male,1985,20,Black,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No,100
52,2005-11-07,20:45,Male,1958,47,White,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,101
53,2005-11-08,01:30,Male,1979,26,White,Speeding,Speeding,Yes,Protective Frisk,Arrest Driver,Yes,16-30 Min,No,102
54,2005-11-08,10:27,Male,1978,27,White,Speeding,Speeding,Yes,Incident to Arrest,Citation,No,30+ Min,No,103
55,2005-11-09,00:49,Male,1980,25,White,Speeding,Speeding,Yes,Reasonable Suspicion,Citation,No,0-15 Min,No,104
56,2005-11-10,01:15,Male,1982,23,White,Speeding,Speeding,Yes,Incident to Arrest,Citation,No,30+ Min,No,105
57,2005-11-10,19:40,Male,1973,32,Black,Registration Violation,Registration/plates,Yes,Inventory,Citation,No,30+ Min,No,106
58,2005-11-12,02:10,Male,1979,26,Black,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No,107
59,2005-11-12,13:30,Male,1980,25,White,Speeding,Speeding,Yes,Incident to Arrest,Citation,No,0-15 Min,No,108
60,2005-11-12,16:00,Female,1986,19,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,109
61,2005-11-12,20:45,Male,1982,23,White,Speeding,Speeding,Yes,Protective Frisk,Citation,No,0-15 Min,No,100
62,2005-11-13,23:35,Male,1964,41,Hispanic,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,101
63,2005-11-14,06:57,Male,1978,27,White,Registration Violation,Registration/plates,Yes,Inventory,Citation,No,16-30 Min,No,102
64,2005-11-15,01:13,Male,1956,49,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Citation,No,16-30 Min,No,103
65,2005-11-15,06:50,Female,1986,19,White,Registration Violation,Registration/plates,Yes,Inventory,Citation,No,0-15 Min,No,104
66,2005-11-16,00:11,Male,1979,26,Hispanic,Equipment/Inspection Violation,Equipment,Yes,"Incident to Arrest,Protective Frisk",Arrest Driver,Yes,16-30 Min,No,105
67,2005-11-17,00:35,Male,1986,19,White,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No,106
68,2005-11-17,23:30,Female,1962,43,Black,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,107
69,2005-11-22,01:10,Male,1973,32,Black,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No,108
70,2005-11-23,03:30,Male,1976,29,White,Speeding,Speeding,Yes,"Probable Cause,Reasonable Suspicion",Citation,No,0-15 Min,No,109
71,2005-11-23,09:00,Male,1988,17,Hispanic,Equipment/Inspection Violation,Equipment,Yes,Protective Frisk,Citation,No,0-15 Min,No,100
72,2005-11-23,14:17,Male,1942,63,White,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,101
73,2005-11-23,20:42,Male,1955,50,White,Other Traffic Violation,Moving violation,Yes,"Incident to Arrest,Inventory",Arrest Driver,Yes,30+ Min,No,102
74,2005-11-24,09:12,Male,1959,46,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,103
75,2005-11-25,12:30,Male,1979,26,Black,Equipment/Inspection Violation,Equipment,Yes,"Incident to Arrest,Inventory",Arrest Driver,Yes,16-30 Min,No,104
76,2005-11-25,15:15,Male,1987,18,White,Equipment/Inspection Violation,Equipment,Yes,Probable Cause,Warning,No,16-30 Min,No,105
77,2005-11-25,22:00,Male,1979,26,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,106
78,2005-11-26,01:00,Male,1971,34,White,Other Traffic Violation,Moving violation,Yes,Inventory,Citation,No,0-15 Min,No,107
79,2005-11-26,14:21,Male,1987,18,White,Speeding,Speeding,Yes,Protective Frisk,Citation,No,0-15 Min,No,108
80,2005-11-27,08:40,Male,1984,21,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No,109
81,2005-11-27,08:40,Male,1984,21,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No,100
82,2005-11-28,10:01,Male,1984,21,White,Speeding,Speeding,Yes,Incident to Arrest,Citation,No,16-30 Min,No,101
83,2005-11-30,02:00,Male,1979,26,White,Speeding,Speeding,Yes,"Incident to Arrest,Inventory",Arrest Driver,Yes,16-30 Min,No,102
84,2005-12-01,22:10,Male,1985,20,White,Registration Violation,Registration/plates,Yes,"Incident to Arrest,Inventory",Arrest Driver,Yes,16-30 Min,No,103
85,2005-12-02,20:50,Male,1944,61,White,Motorist Assist/Courtesy,Other,Yes,Incident to Arrest,Arrest Passenger,Yes,30+ Min,No,104
86,2005-12-02,22:30,Male,1984,21,Black,Other Traffic Violation,Moving violation,Yes,"Incident to Arrest,Inventory",Arrest Driver,Yes,16-30 Min,No,105
87,2005-12-02,22:30,Male,1984,21,Black,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,106
88,2005-12-04,00:16,Male,1981,24,Black,Call for Service,Other,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,107
89,2005-12-04,02:10,Male,1982,23,White,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,108
90,2005-12-04,03:15,Male,1985,20,Hispanic,Speeding,Speeding,Yes,"Incident to Arrest,Probable Cause,Protective Frisk",Arrest Driver,Yes,30+ Min,No,109
91,2005-12-04,03:15,Male,1971,34,White,Other Traffic Violation,Moving violation,Yes,"Incident to Arrest,Protective Frisk",Arrest Driver,Yes,16-30 Min,No,100
92,2005-12-04,15:30,Male,1968,37,White,Speeding,Speeding,Yes,Probable Cause,Arrest Passenger,Yes,30+ Min,Yes,101
93,2005-12-04,21:29,Male,1974,31,Black,APB,Other,Yes,Incident to Arrest,Citation,No,0-15 Min,No,102
94,2005-12-05,01:08,Male,1984,21,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,103
95,2005-12-05,01:50,Male,1961,44,White,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,104
96,2005-12-05,08:00,Male,1982,23,Hispanic,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,105
97,2005-12-05,16:45,Male,1984,21,Black,Speeding,Speeding,Yes,"Incident to Arrest,Inventory",Arrest Driver,Yes,16-30 Min,No,106
98,2005-12-05,22:40,Male,1963,42,Hispanic,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,107
99,2005-12-07,18:45,Male,1964,41,White,Speeding,Speeding,Yes,"Probable Cause,Protective Frisk",Citation,No,16-30 Min,No,108
100,2005-12-08,09:25,Male,1984,21,White,Speeding,Speeding,Yes,Probable Cause,Citation,No,16-30 Min,Yes,109
101,2005-12-08,21:15,Male,1970,35,White,Registration Violation,Registration/plates,Yes,"Incident to Arrest,Protective Frisk",Arrest Driver,Yes,30+ Min,No,100
102,2005-12-09,00:00,Male,1979,26,Black,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,Yes,101
103,2005-12-09,03:10,Male,1987,18,White,Speeding,Speeding,Yes,Probable Cause,Citation,No,16-30 Min,Yes,102
104,2005-12-09,07:40,Male,1958,47,White,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,103
105,2005-12-10,19:58,Male,1974,31,Asian,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,104
106,2005-12-10,21:19,Male,1980,25,Black,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No,105
107,2005-12-11,20:24,Male,1965,40,Black,Other Traffic Violation,Moving violation,Yes,"Incident to Arrest,Inventory",Arrest Driver,Yes,16-30 Min,No,106
108,2005-12-13,08:41,Female,1966,39,Black,Other Traffic Violation,Moving violation,Yes,Inventory,Arrest Driver,Yes,16-30 Min,No,107
109,2005-12-14,02:40,Male,1973,32,White,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,108
110,2005-12-14,23:10,Male,1961,44,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,109
111,2005-12-16,23:00,Male,1976,29,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,100
112,2005-12-17,00:40,Male,1984,21,White,Speeding,Speeding,Yes,Protective Frisk,Citation,No,0-15 Min,No,101
113,2005-12-17,16:45,Male,1984,21,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,102
114,2005-12-18,19:20,Male,1973,32,White,Speeding,Speeding,Yes,Protective Frisk,Arrest Driver,Yes,30+ Min,No,103
115,2005-12-19,19:21,Male,1957,48,White,Call for Service,Other,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,104
116,2005-12-19,19:21,Male,1957,48,White,Call for Service,Other,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,105
117,2005-12-20,12:20,Male,1964,41,Black,Registration Violation,Registration/plates,Yes,"Incident to Arrest,Inventory,Protective Frisk",Arrest Driver,Yes,30+ Min,No,106
118,2005-12-21,13:30,Male,1986,19,White,Equipment/Inspection Violation,Equipment,Yes,"Incident to Arrest,Protective Frisk",Arrest Driver,Yes,30+ Min,No,107
119,2005-12-23,09:31,Male,1972,33,Black,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Passenger,Yes,30+ Min,No,108
120,2005-12-26,08:02,Male,1986,19,Black,Speeding,Speeding,Yes,Probable Cause,Citation,No,16-30 Min,Yes,109
121,2005-12-26,10:15,Male,1980,25,White,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,100
122,2005-12-28,14:50,Male,1987,18,White,Equipment/Inspection Violation,Equipment,Yes,"Inventory,Protective Frisk",Citation,No,30+ Min,No,101
123,2005-12-29,22:00,Male,1983,22,Black,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,102
124,2005-12-30,14:20,Male,1971,34,Black,Equipment/Inspection Violation,Equipment,Yes,Inventory,Citation,No,30+ Min,No,103
125,2005-12-30,18:15,Male,1979,26,Black,Registration Violation,Registration/plates,Yes,Protective Frisk,Citation,No,16-30 Min,No,104
126,2005-12-30,23:30,Male,1982,23,Black,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,105
127,2005-12-31,02:17,Male,1986,19,White,Call for Service,Other,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,106
128,2005-12-31,09:34,Male,1970,35,White,Speeding,Speeding,Yes,"Incident to Arrest,Protective Frisk",Arrest Driver,Yes,30+ Min,No,107
129,2006-01-01,03:50,Male,1978,28,White,Other Traffic Violation,Moving violation,Yes,Protective Frisk,Citation,No,0-15 Min,No,108
130,2006-01-01,14:10,Male,1983,23,White,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,109
131,2006-01-02,20:00,Male,1971,35,White,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,100
132,2006-01-03,20:45,Male,1974,32,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Citation,No,30+ Min,No,101
133,2006-01-04,00:00,Male,1975,31,White,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,102
134,2006-01-04,10:00,Male,1951,55,Black,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,103
135,2006-01-04,22:20,Male,1961,45,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,104
136,2006-01-05,01:00,Male,1971,35,White,Call for Service,Other,Yes,"Probable Cause,Protective Frisk",Citation,No,30+ Min,No,105
137,2006-01-05,11:00,Male,1972,34,Black,Equipment/Inspection Violation,Equipment,Yes,Probable Cause,Citation,No,16-30 Min,No,106
138,2006-01-05,18:20,Male,1981,25,Asian,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,107
139,2006-01-05,23:45,Male,1970,36,Black,Speeding,Speeding,Yes,"Protective Frisk,Reasonable Suspicion",Citation,No,16-30 Min,No,108
140,2006-01-06,01:00,Male,1982,24,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,109
141,2006-01-06,10:40,Female,1983,23,White,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Passenger,Yes,16-30 Min,No,100
142,2006-01-06,10:55,Male,1971,35,White,Speeding,Speeding,Yes,Incident to Arrest,Citation,No,0-15 Min,No,101
143,2006-01-06,16:40,Male,1981,25,White,Speeding,Speeding,Yes,"Incident to Arrest,Protective Frisk",Citation,No,30+ Min,No,102
144,2006-01-06,16:40,Male,1981,25,White,Speeding,Speeding,Yes,"Incident to Arrest,Protective Frisk",Citation,No,30+ Min,No,103
145,2006-01-06,23:18,Male,1984,22,Hispanic,Speeding,Speeding,Yes,Incident to Arrest,Citation,No,0-15 Min,No,104
146,2006-01-07,02:20,Male,1976,30,Black,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,105
147,2006-01-07,08:50,Male,1954,52,Black,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No,106
148,2006-01-07,18:05,Male,1978,28,White,Speeding,Speeding,Yes,"Incident to Arrest,Protective Frisk",Arrest Driver,Yes,30+ Min,No,107
149,2006-01-08,03:00,Male,1970,36,Black,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,108
150,2006-01-09,01:50,Female,1984,22,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,109
151,2006-01-09,08:15,Male,1972,34,White,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,100
152,2006-01-09,10:00,Male,1949,57,White,Registration Violation,Registration/plates,Yes,Inventory,Citation,No,30+ Min,No,101
153,2006-01-09,10:06,Male,1987,19,White,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,102
154,2006-01-09,10:41,Male,1971,35,White,Speeding,Speeding,Yes,Probable Cause,Citation,No,0-15 Min,No,103
155,2006-01-09,22:34,Male,1975,31,White,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,104
156,2006-01-10,12:40,Male,1981,25,Black,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,105
157,2006-01-10,13:05,Male,1968,38,Black,Speeding,Speeding,Yes,Incident to Arrest,Citation,No,30+ Min,No,106
158,2006-01-11,02:20,Male,1982,24,Black,Speeding,Speeding,Yes,Probable Cause,Arrest Passenger,Yes,16-30 Min,No,107
159,2006-01-12,11:35,Male,1986,20,White,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,108
160,2006-01-12,11:35,Male,1986,20,White,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,109
161,2006-01-12,20:50,Female,1963,43,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No,100
162,2006-01-13,07:00,Male,1973,33,Black,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,101
163,2006-01-13,16:25,Male,1956,50,White,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,102
164,2006-01-15,00:30,Female,1979,27,White,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,Yes,103
165,2006-01-15,09:00,Female,1981,25,White,Equipment/Inspection Violation,Equipment,Yes,"Incident to Arrest,Protective Frisk",Arrest Driver,Yes,30+ Min,No,104
166,2006-01-15,18:43,Male,1984,22,White,Registration Violation,Registration/plates,Yes,Incident to Arrest,Arrest Driver,Yes,0-15 Min,No,105
167,2006-01-15,23:30,Male,1983,23,White,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,106
168,2006-01-15,23:30,Male,1983,23,Hispanic,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,107
169,2006-01-16,10:30,Male,1967,39,Black,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,108
170,2006-01-16,15:24,Male,1968,38,Black,Speeding,Speeding,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,109
171,2006-01-16,19:30,Male,1977,29,Black,Other Traffic Violation,Moving violation,Yes,Probable Cause,Citation,No,0-15 Min,No,100
172,2006-01-17,16:10,Male,1973,33,White,Violation of City/Town Ordinance,Other,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,101
173,2006-01-19,07:17,Male,1970,36,Black,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,102
174,2006-01-20,10:30,Male,1970,36,White,Other Traffic Violation,Moving violation,Yes,Inventory,Citation,No,30+ Min,No,103
175,2006-01-20,13:10,Male,1986,20,White,Speeding,Speeding,Yes,Incident to Arrest,Citation,No,16-30 Min,No,104
176,2006-01-21,12:25,Male,1982,24,White,Speeding,Speeding,Yes,"Incident to Arrest,Protective Frisk",Arrest Driver,Yes,30+ Min,No,105
177,2006-01-22,21:18,Male,1971,35,White,Speeding,Speeding,Yes,Incident to Arrest,Citation,No,30+ Min,No,106
178,2006-01-23,02:35,Female,1977,29,Black,Speeding,Speeding,Yes,"Incident to Arrest,Probable Cause",Arrest Driver,Yes,30+ Min,No,107
179,2006-01-23,02:35,Female,1977,29,Black,Speeding,Speeding,Yes,"Incident to Arrest,Inventory,Probable Cause",Arrest Driver,Yes,16-30 Min,No,108
180,2006-01-26,01:20,Male,1977,29,White,Equipment/Inspection Violation,Equipment,Yes,Probable Cause,Citation,No,0-15 Min,No,109
181,2006-01-28,10:37,Male,1984,22,Black,Other Traffic Violation,Moving violation,Yes,Incident to Arrest,Arrest Driver,Yes,16-30 Min,No,100
182,2006-01-29,14:20,Male,1983,23,Black,Equipment/Inspection Violation,Equipment,Yes,Probable Cause,Warning,No,16-30 Min,Yes,101
183,2006-01-31,12:00,Female,1975,31,White,Equipment/Inspection Violation,Equipment,Yes,Incident to Arrest,Arrest Driver,Yes,30+ Min,No,102
184,2006-02-01,22:30,Male,1982,24,Black,Speeding,Speeding,Yes,"Probable Cause,Protective Frisk",Citation,No,0-15 Min,No,103
185,2006-02-03,00:00,Female,1984,22,White,Registration Violation,Registration/plates,Yes,Inventory,Citation,No,30+ Min,No,104
186,2006-02-05,14:45,Male,1987,19,White,Equipment/Inspection Violation,Equipment,Yes,Probable Cause,Citation,No,0-15 Min,Yes,105
187,2006-02-06,01:00,Male,1977,29,White,Speeding,Speeding,Yes,Protective Frisk,Citation,No,16-30 Min,No,106
188,2006-02-07,00:13,Male,1987,19,Black,Violation of City/Town Ordinance,Other,Yes,"Incident to Arrest,Probable Cause",Arrest Passenger,Yes,30+ Min,Yes,107
189,2006-02-07,23:10,Male,1987,19,Black,Speeding,Speeding,Yes,"Incident to Arrest,Inventory",Citation,No,30+ Min,No,108
190,2006-02-08,13:45,Male,1977,29,White,Other Traffic Violation,Moving violation,Yes,"Protective Frisk,Reasonable Suspicion",Citation,No,30+ Min,No,109
