case_id;stop_date;stop_time;driver_gender;year_of_birth;driver_age;driver_race;violation_raw;violation;search_conducted;search_type;stop_outcome;is_arrested;stop_duration;drugs_related_stop;stopped_by
14;10.10.2005;16:00;Male;1955;50;White;Call for Service;Other;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;103
15;11.10.2005;3:15;Male;1964;41;White;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;104
16;11.10.2005;13:40;Male;1963;42;White;Other Traffic Violation;Moving violation;Yes;Probable Cause;Citation;No;0-15 Min;Yes;105
17;11.10.2005;23:49;Male;1953;52;Black;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;16-30 Min;No;106
18;12.10.2005;20:20;Male;1977;28;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest,Probable Cause;Arrest Driver;Yes;30+ Min;Yes;107
19;12.10.2005;20:30;Male;1987;18;Hispanic;Other Traffic Violation;Moving violation;Yes;Protective Frisk;Arrest Driver;Yes;0-15 Min;No;108
20;12.10.2005;20:30;Male;1987;18;Hispanic;Other Traffic Violation;Moving violation;Yes;Protective Frisk;Arrest Driver;Yes;0-15 Min;No;109
21;16.10.2005;0:00;Male;1981;24;Black;Speeding;Speeding;Yes;Reasonable Suspicion;Citation;No;16-30 Min;No;100
22;16.10.2005;2:50;Male;1976;29;White;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;101
23;16.10.2005;10:40;Male;1961;44;Black;Speeding;Speeding;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;30+ Min;No;102
24;16.10.2005;19:30;Male;1977;28;White;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;103
25;17.10.2005;9:30;Male;1983;22;Black;Speeding;Speeding;Yes;Protective Frisk;Citation;No;0-15 Min;No;104
26;18.10.2005;2:45;Male;1967;38;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;105
27;18.10.2005;23:46;Male;1958;47;White;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;106
28;19.10.2005;1:00;Male;1956;49;White;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;107
29;20.10.2005;1:52;Female;1986;19;White;Speeding;Speeding;Yes;Inventory;Arrest Driver;Yes;16-30 Min;No;108
30;21.10.2005;6:05;Male;1961;44;Black;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;109
31;21.10.2005;6:12;Male;1961;44;Black;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;100
32;23.10.2005;14:40;Male;1978;27;White;Equipment/Inspection Violation;Equipment;Yes;Inventory,Protective Frisk;Citation;No;0-15 Min;No;101
33;23.10.2005;16:20;Male;1988;17;White;Equipment/Inspection Violation;Equipment;Yes;Protective Frisk;Citation;No;16-30 Min;No;102
34;23.10.2005;18:40;Male;1980;25;Black;Other Traffic Violation;Moving violation;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;30+ Min;No;103
35;24.10.2005;14:10;Male;1979;26;Black;Registration Violation;Registration/plates;Yes;Probable Cause;Citation;No;16-30 Min;Yes;104
36;25.10.2005;20:10;Male;1957;48;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;105
37;25.10.2005;23:25;Male;1985;20;White;Equipment/Inspection Violation;Equipment;Yes;Probable Cause;Citation;No;16-30 Min;Yes;106
38;27.10.2005;8:47;Male;1986;19;White;Speeding;Speeding;Yes;Reasonable Suspicion;Citation;No;16-30 Min;No;107
39;27.10.2005;23:30;Male;1981;24;Black;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Citation;No;16-30 Min;Yes;108
40;28.10.2005;7:14;Male;1982;23;White;Speeding;Speeding;Yes;Inventory;Arrest Driver;Yes;16-30 Min;No;109
41;28.10.2005;22:50;Male;1953;52;White;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;100
42;29.10.2005;1:03;Male;1973;32;Black;Speeding;Speeding;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;16-30 Min;No;101
43;29.10.2005;9:50;Male;1965;40;White;Speeding;Speeding;Yes;Incident to Arrest;Citation;No;30+ Min;Yes;102
44;1.11.2005;2:45;Female;1986;19;White;Speeding;Speeding;Yes;Probable Cause;Citation;No;16-30 Min;No;103
45;1.11.2005;13:00;Male;1968;37;White;Speeding;Speeding;Yes;Incident to Arrest,Probable Cause;Arrest Driver;Yes;30+ Min;No;104
46;2.11.2005;1:45;Female;1987;18;Black;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;105
47;2.11.2005;1:45;Female;1987;18;Black;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;106
48;4.11.2005;9:50;Male;1967;38;White;Speeding;Speeding;Yes;Incident to Arrest;Citation;No;30+ Min;No;107
49;4.11.2005;10:34;Male;1981;24;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;108
50;4.11.2005;13:35;Male;1979;26;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest,Reasonable Suspicion;Arrest Driver;Yes;30+ Min;Yes;109
51;4.11.2005;22:10;Male;1985;20;Black;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;0-15 Min;No;100
52;7.11.2005;20:45;Male;1958;47;White;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;101
53;8.11.2005;1:30;Male;1979;26;White;Speeding;Speeding;Yes;Protective Frisk;Arrest Driver;Yes;16-30 Min;No;102
54;8.11.2005;10:27;Male;1978;27;White;Speeding;Speeding;Yes;Incident to Arrest;Citation;No;30+ Min;No;103
55;9.11.2005;0:49;Male;1980;25;White;Speeding;Speeding;Yes;Reasonable Suspicion;Citation;No;0-15 Min;No;104
56;10.11.2005;1:15;Male;1982;23;White;Speeding;Speeding;Yes;Incident to Arrest;Citation;No;30+ Min;No;105
57;10.11.2005;19:40;Male;1973;32;Black;Registration Violation;Registration/plates;Yes;Inventory;Citation;No;30+ Min;No;106
58;12.11.2005;2:10;Male;1979;26;Black;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Driver;Yes;0-15 Min;No;107
59;12.11.2005;13:30;Male;1980;25;White;Speeding;Speeding;Yes;Incident to Arrest;Citation;No;0-15 Min;No;108
60;12.11.2005;16:00;Female;1986;19;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;109
61;12.11.2005;20:45;Male;1982;23;White;Speeding;Speeding;Yes;Protective Frisk;Citation;No;0-15 Min;No;100
62;13.11.2005;23:35;Male;1964;41;Hispanic;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;101
63;14.11.2005;6:57;Male;1978;27;White;Registration Violation;Registration/plates;Yes;Inventory;Citation;No;16-30 Min;No;102
64;15.11.2005;1:13;Male;1956;49;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Citation;No;16-30 Min;No;103
65;15.11.2005;6:50;Female;1986;19;White;Registration Violation;Registration/plates;Yes;Inventory;Citation;No;0-15 Min;No;104
66;16.11.2005;0:11;Male;1979;26;Hispanic;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest,Protective Frisk;Arrest Driver;Yes;16-30 Min;No;105
67;17.11.2005;0:35;Male;1986;19;White;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;0-15 Min;No;106
68;17.11.2005;23:30;Female;1962;43;Black;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;107
69;22.11.2005;1:10;Male;1973;32;Black;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;0-15 Min;No;108
70;23.11.2005;3:30;Male;1976;29;White;Speeding;Speeding;Yes;Probable Cause,Reasonable Suspicion;Citation;No;0-15 Min;No;109
71;23.11.2005;9:00;Male;1988;17;Hispanic;Equipment/Inspection Violation;Equipment;Yes;Protective Frisk;Citation;No;0-15 Min;No;100
72;23.11.2005;14:17;Male;1942;63;White;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;101
73;23.11.2005;20:42;Male;1955;50;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;30+ Min;No;102
74;24.11.2005;9:12;Male;1959;46;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;103
75;25.11.2005;12:30;Male;1979;26;Black;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;16-30 Min;No;104
76;25.11.2005;15:15;Male;1987;18;White;Equipment/Inspection Violation;Equipment;Yes;Probable Cause;Warning;No;16-30 Min;No;105
77;25.11.2005;22:00;Male;1979;26;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;106
78;26.11.2005;1:00;Male;1971;34;White;Other Traffic Violation;Moving violation;Yes;Inventory;Citation;No;0-15 Min;No;107
79;26.11.2005;14:21;Male;1987;18;White;Speeding;Speeding;Yes;Protective Frisk;Citation;No;0-15 Min;No;108
80;27.11.2005;8:40;Male;1984;21;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;0-15 Min;No;109
81;27.11.2005;8:40;Male;1984;21;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;0-15 Min;No;100
82;28.11.2005;10:01;Male;1984;21;White;Speeding;Speeding;Yes;Incident to Arrest;Citation;No;16-30 Min;No;101
83;30.11.2005;2:00;Male;1979;26;White;Speeding;Speeding;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;16-30 Min;No;102
84;1.12.2005;22:10;Male;1985;20;White;Registration Violation;Registration/plates;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;16-30 Min;No;103
85;2.12.2005;20:50;Male;1944;61;White;Motorist Assist/Courtesy;Other;Yes;Incident to Arrest;Arrest Passenger;Yes;30+ Min;No;104
86;2.12.2005;22:30;Male;1984;21;Black;Other Traffic Violation;Moving violation;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;16-30 Min;No;105
87;2.12.2005;22:30;Male;1984;21;Black;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;106
88;4.12.2005;0:16;Male;1981;24;Black;Call for Service;Other;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;107
89;4.12.2005;2:10;Male;1982;23;White;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;108
90;4.12.2005;3:15;Male;1985;20;Hispanic;Speeding;Speeding;Yes;Incident to Arrest,Probable Cause,Protective Frisk;Arrest Driver;Yes;30+ Min;No;109
91;4.12.2005;3:15;Male;1971;34;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest,Protective Frisk;Arrest Driver;Yes;16-30 Min;No;100
92;4.12.2005;15:30;Male;1968;37;White;Speeding;Speeding;Yes;Probable Cause;Arrest Passenger;Yes;30+ Min;Yes;101
93;4.12.2005;21:29;Male;1974;31;Black;APB;Other;Yes;Incident to Arrest;Citation;No;0-15 Min;No;102
94;5.12.2005;1:08;Male;1984;21;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;103
95;5.12.2005;1:50;Male;1961;44;White;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;104
96;5.12.2005;8:00;Male;1982;23;Hispanic;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;105
97;5.12.2005;16:45;Male;1984;21;Black;Speeding;Speeding;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;16-30 Min;No;106
98;5.12.2005;22:40;Male;1963;42;Hispanic;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;107
99;7.12.2005;18:45;Male;1964;41;White;Speeding;Speeding;Yes;Probable Cause,Protective Frisk;Citation;No;16-30 Min;No;108
100;8.12.2005;9:25;Male;1984;21;White;Speeding;Speeding;Yes;Probable Cause;Citation;No;16-30 Min;Yes;109
101;8.12.2005;21:15;Male;1970;35;White;Registration Violation;Registration/plates;Yes;Incident to Arrest,Protective Frisk;Arrest Driver;Yes;30+ Min;No;100
102;9.12.2005;0:00;Male;1979;26;Black;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;Yes;101
103;9.12.2005;3:10;Male;1987;18;White;Speeding;Speeding;Yes;Probable Cause;Citation;No;16-30 Min;Yes;102
104;9.12.2005;7:40;Male;1958;47;White;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;103
105;10.12.2005;19:58;Male;1974;31;Asian;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;104
106;10.12.2005;21:19;Male;1980;25;Black;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;0-15 Min;No;105
107;11.12.2005;20:24;Male;1965;40;Black;Other Traffic Violation;Moving violation;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;16-30 Min;No;106
108;13.12.2005;8:41;Female;1966;39;Black;Other Traffic Violation;Moving violation;Yes;Inventory;Arrest Driver;Yes;16-30 Min;No;107
109;14.12.2005;2:40;Male;1973;32;White;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;108
110;14.12.2005;23:10;Male;1961;44;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;109
111;16.12.2005;23:00;Male;1976;29;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;100
112;17.12.2005;0:40;Male;1984;21;White;Speeding;Speeding;Yes;Protective Frisk;Citation;No;0-15 Min;No;101
113;17.12.2005;16:45;Male;1984;21;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;102
114;18.12.2005;19:20;Male;1973;32;White;Speeding;Speeding;Yes;Protective Frisk;Arrest Driver;Yes;30+ Min;No;103
115;19.12.2005;19:21;Male;1957;48;White;Call for Service;Other;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;104
116;19.12.2005;19:21;Male;1957;48;White;Call for Service;Other;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;105
117;20.12.2005;12:20;Male;1964;41;Black;Registration Violation;Registration/plates;Yes;Incident to Arrest,Inventory,Protective Frisk;Arrest Driver;Yes;30+ Min;No;106
118;21.12.2005;13:30;Male;1986;19;White;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest,Protective Frisk;Arrest Driver;Yes;30+ Min;No;107
119;23.12.2005;9:31;Male;1972;33;Black;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Passenger;Yes;30+ Min;No;108
120;26.12.2005;8:02;Male;1986;19;Black;Speeding;Speeding;Yes;Probable Cause;Citation;No;16-30 Min;Yes;109
121;26.12.2005;10:15;Male;1980;25;White;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;100
122;28.12.2005;14:50;Male;1987;18;White;Equipment/Inspection Violation;Equipment;Yes;Inventory,Protective Frisk;Citation;No;30+ Min;No;101
123;29.12.2005;22:00;Male;1983;22;Black;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;102
124;30.12.2005;14:20;Male;1971;34;Black;Equipment/Inspection Violation;Equipment;Yes;Inventory;Citation;No;30+ Min;No;103
125;30.12.2005;18:15;Male;1979;26;Black;Registration Violation;Registration/plates;Yes;Protective Frisk;Citation;No;16-30 Min;No;104
126;30.12.2005;23:30;Male;1982;23;Black;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;105
127;31.12.2005;2:17;Male;1986;19;White;Call for Service;Other;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;106
128;31.12.2005;9:34;Male;1970;35;White;Speeding;Speeding;Yes;Incident to Arrest,Protective Frisk;Arrest Driver;Yes;30+ Min;No;107
129;1.1.2006;3:50;Male;1978;28;White;Other Traffic Violation;Moving violation;Yes;Protective Frisk;Citation;No;0-15 Min;No;108
130;1.1.2006;14:10;Male;1983;23;White;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;109
131;2.1.2006;20:00;Male;1971;35;White;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;100
132;3.1.2006;20:45;Male;1974;32;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Citation;No;30+ Min;No;101
133;4.1.2006;0:00;Male;1975;31;White;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;102
134;4.1.2006;10:00;Male;1951;55;Black;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;103
135;4.1.2006;22:20;Male;1961;45;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;104
136;5.1.2006;1:00;Male;1971;35;White;Call for Service;Other;Yes;Probable Cause,Protective Frisk;Citation;No;30+ Min;No;105
137;5.1.2006;11:00;Male;1972;34;Black;Equipment/Inspection Violation;Equipment;Yes;Probable Cause;Citation;No;16-30 Min;No;106
138;5.1.2006;18:20;Male;1981;25;Asian;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;107
139;5.1.2006;23:45;Male;1970;36;Black;Speeding;Speeding;Yes;Protective Frisk,Reasonable Suspicion;Citation;No;16-30 Min;No;108
140;6.1.2006;1:00;Male;1982;24;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;109
141;6.1.2006;10:40;Female;1983;23;White;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Passenger;Yes;16-30 Min;No;100
142;6.1.2006;10:55;Male;1971;35;White;Speeding;Speeding;Yes;Incident to Arrest;Citation;No;0-15 Min;No;101
143;6.1.2006;16:40;Male;1981;25;White;Speeding;Speeding;Yes;Incident to Arrest,Protective Frisk;Citation;No;30+ Min;No;102
144;6.1.2006;16:40;Male;1981;25;White;Speeding;Speeding;Yes;Incident to Arrest,Protective Frisk;Citation;No;30+ Min;No;103
145;6.1.2006;23:18;Male;1984;22;Hispanic;Speeding;Speeding;Yes;Incident to Arrest;Citation;No;0-15 Min;No;104
146;7.1.2006;2:20;Male;1976;30;Black;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;105
147;7.1.2006;8:50;Male;1954;52;Black;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;0-15 Min;No;106
148;7.1.2006;18:05;Male;1978;28;White;Speeding;Speeding;Yes;Incident to Arrest,Protective Frisk;Arrest Driver;Yes;30+ Min;No;107
149;8.1.2006;3:00;Male;1970;36;Black;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;108
150;9.1.2006;1:50;Female;1984;22;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;109
151;9.1.2006;8:15;Male;1972;34;White;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;100
152;9.1.2006;10:00;Male;1949;57;White;Registration Violation;Registration/plates;Yes;Inventory;Citation;No;30+ Min;No;101
153;9.1.2006;10:06;Male;1987;19;White;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;102
154;9.1.2006;10:41;Male;1971;35;White;Speeding;Speeding;Yes;Probable Cause;Citation;No;0-15 Min;No;103
155;9.1.2006;22:34;Male;1975;31;White;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;104
156;10.1.2006;12:40;Male;1981;25;Black;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;105
157;10.1.2006;13:05;Male;1968;38;Black;Speeding;Speeding;Yes;Incident to Arrest;Citation;No;30+ Min;No;106
158;11.1.2006;2:20;Male;1982;24;Black;Speeding;Speeding;Yes;Probable Cause;Arrest Passenger;Yes;16-30 Min;No;107
159;12.1.2006;11:35;Male;1986;20;White;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;108
160;12.1.2006;11:35;Male;1986;20;White;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;109
161;12.1.2006;20:50;Female;1963;43;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;0-15 Min;No;100
162;13.1.2006;7:00;Male;1973;33;Black;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;101
163;13.1.2006;16:25;Male;1956;50;White;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;102
164;15.1.2006;0:30;Female;1979;27;White;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;Yes;103
165;15.1.2006;9:00;Female;1981;25;White;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest,Protective Frisk;Arrest Driver;Yes;30+ Min;No;104
166;15.1.2006;18:43;Male;1984;22;White;Registration Violation;Registration/plates;Yes;Incident to Arrest;Arrest Driver;Yes;0-15 Min;No;105
167;15.1.2006;23:30;Male;1983;23;White;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;106
168;15.1.2006;23:30;Male;1983;23;Hispanic;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;107
169;16.1.2006;10:30;Male;1967;39;Black;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;108
170;16.1.2006;15:24;Male;1968;38;Black;Speeding;Speeding;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;109
171;16.1.2006;19:30;Male;1977;29;Black;Other Traffic Violation;Moving violation;Yes;Probable Cause;Citation;No;0-15 Min;No;100
172;17.1.2006;16:10;Male;1973;33;White;Violation of City/Town Ordinance;Other;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;101
173;19.1.2006;7:17;Male;1970;36;Black;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;102
174;20.1.2006;10:30;Male;1970;36;White;Other Traffic Violation;Moving violation;Yes;Inventory;Citation;No;30+ Min;No;103
175;20.1.2006;13:10;Male;1986;20;White;Speeding;Speeding;Yes;Incident to Arrest;Citation;No;16-30 Min;No;104
176;21.1.2006;12:25;Male;1982;24;White;Speeding;Speeding;Yes;Incident to Arrest,Protective Frisk;Arrest Driver;Yes;30+ Min;No;105
177;22.1.2006;21:18;Male;1971;35;White;Speeding;Speeding;Yes;Incident to Arrest;Citation;No;30+ Min;No;106
178;23.1.2006;2:35;Female;1977;29;Black;Speeding;Speeding;Yes;Incident to Arrest,Probable Cause;Arrest Driver;Yes;30+ Min;No;107
179;23.1.2006;2:35;Female;1977;29;Black;Speeding;Speeding;Yes;Incident to Arrest,Inventory,Probable Cause;Arrest Driver;Yes;16-30 Min;No;108
180;26.1.2006;1:20;Male;1977;29;White;Equipment/Inspection Violation;Equipment;Yes;Probable Cause;Citation;No;0-15 Min;No;109
181;28.1.2006;10:37;Male;1984;22;Black;Other Traffic Violation;Moving violation;Yes;Incident to Arrest;Arrest Driver;Yes;16-30 Min;No;100
182;29.1.2006;14:20;Male;1983;23;Black;Equipment/Inspection Violation;Equipment;Yes;Probable Cause;Warning;No;16-30 Min;Yes;101
183;31.1.2006;12:00;Female;1975;31;White;Equipment/Inspection Violation;Equipment;Yes;Incident to Arrest;Arrest Driver;Yes;30+ Min;No;102
184;1.2.2006;22:30;Male;1982;24;Black;Speeding;Speeding;Yes;Probable Cause,Protective Frisk;Citation;No;0-15 Min;No;103
185;3.2.2006;0:00;Female;1984;22;White;Registration Violation;Registration/plates;Yes;Inventory;Citation;No;30+ Min;No;104
186;5.2.2006;14:45;Male;1987;19;White;Equipment/Inspection Violation;Equipment;Yes;Probable Cause;Citation;No;0-15 Min;Yes;105
187;6.2.2006;1:00;Male;1977;29;White;Speeding;Speeding;Yes;Protective Frisk;Citation;No;16-30 Min;No;106
188;7.2.2006;0:13;Male;1987;19;Black;Violation of City/Town Ordinance;Other;Yes;Incident to Arrest,Probable Cause;Arrest Passenger;Yes;30+ Min;Yes;107
189;7.2.2006;23:10;Male;1987;19;Black;Speeding;Speeding;Yes;Incident to Arrest,Inventory;Citation;No;30+ Min;No;108
190;8.2.2006;13:45;Male;1977;29;White;Other Traffic Violation;Moving violation;Yes;Protective Frisk,Reasonable Suspicion;Citation;No;30+ Min;No;109
191;10.2.2006;1:55;Male;1976;30;Black;Speeding;Speeding;Yes;Incident to Arrest,Inventory;Arrest Driver;Yes;30+ Min;No;100
